profile,condensation_edge_id,from_component,to_component,source_edge_count,edge_type_counts_json,source_edge_ids
all_exact_formal_game_data,1,scc:0078,scc:0100,4,"{""recipe_input"":4}",1823|1827|1845|1930
all_exact_formal_game_data,2,scc:0079,scc:0227,1,"{""recipe_input"":1}",1750
all_exact_formal_game_data,3,scc:0079,scc:0293,1,"{""recipe_input"":1}",1752
all_exact_formal_game_data,4,scc:0080,scc:0297,1,"{""recipe_input"":1}",1754
all_exact_formal_game_data,5,scc:0081,scc:0317,1,"{""recipe_input"":1}",1946
all_exact_formal_game_data,6,scc:0082,scc:0100,1,"{""recipe_input"":1}",1961
all_exact_formal_game_data,7,scc:0083,scc:0100,1,"{""recipe_input"":1}",1822
all_exact_formal_game_data,8,scc:0083,scc:0299,1,"{""recipe_input"":1}",1856
all_exact_formal_game_data,9,scc:0083,scc:0301,1,"{""recipe_input"":1}",1756
all_exact_formal_game_data,10,scc:0083,scc:0316,1,"{""recipe_input"":1}",1940
all_exact_formal_game_data,11,scc:0084,scc:0100,1,"{""recipe_input"":1}",2174
all_exact_formal_game_data,12,scc:0084,scc:0231,1,"{""recipe_input"":1}",2109
all_exact_formal_game_data,13,scc:0084,scc:0259,1,"{""recipe_input"":1}",2229
all_exact_formal_game_data,14,scc:0084,scc:0291,1,"{""recipe_input"":1}",1799
all_exact_formal_game_data,15,scc:0084,scc:0464,1,"{""research_input"":1}",772
all_exact_formal_game_data,16,scc:0084,scc:0489,1,"{""research_input"":1}",919
all_exact_formal_game_data,17,scc:0085,scc:0288,1,"{""recipe_input"":1}",1796
all_exact_formal_game_data,18,scc:0086,scc:0298,1,"{""recipe_input"":1}",1850
all_exact_formal_game_data,19,scc:0087,scc:0100,1,"{""recipe_input"":1}",1950
all_exact_formal_game_data,20,scc:0088,scc:0100,1,"{""recipe_input"":1}",1952
all_exact_formal_game_data,21,scc:0089,scc:0100,1,"{""recipe_input"":1}",1839
all_exact_formal_game_data,22,scc:0089,scc:0244,1,"{""recipe_input"":1}",2165
all_exact_formal_game_data,23,scc:0089,scc:0324,1,"{""recipe_input"":1}",1974
all_exact_formal_game_data,24,scc:0090,scc:0100,1,"{""recipe_input"":1}",1858
all_exact_formal_game_data,25,scc:0091,scc:0100,1,"{""recipe_input"":1}",2092
all_exact_formal_game_data,26,scc:0091,scc:0241,1,"{""recipe_input"":1}",2149
all_exact_formal_game_data,27,scc:0092,scc:0100,1,"{""recipe_input"":1}",1928
all_exact_formal_game_data,28,scc:0092,scc:0464,1,"{""research_input"":1}",771
all_exact_formal_game_data,29,scc:0093,scc:0100,1,"{""recipe_input"":1}",1929
all_exact_formal_game_data,30,scc:0095,scc:0100,1,"{""recipe_input"":1}",2106
all_exact_formal_game_data,31,scc:0095,scc:0228,1,"{""recipe_input"":1}",1773
all_exact_formal_game_data,32,scc:0095,scc:0240,1,"{""recipe_input"":1}",2140
all_exact_formal_game_data,33,scc:0095,scc:0242,1,"{""recipe_input"":1}",2151
all_exact_formal_game_data,34,scc:0095,scc:0247,1,"{""recipe_input"":1}",2176
all_exact_formal_game_data,35,scc:0095,scc:0248,1,"{""recipe_input"":1}",2180
all_exact_formal_game_data,36,scc:0095,scc:0250,1,"{""recipe_input"":1}",2189
all_exact_formal_game_data,37,scc:0095,scc:0274,1,"{""recipe_input"":1}",2281
all_exact_formal_game_data,38,scc:0095,scc:0290,1,"{""recipe_input"":1}",2351
all_exact_formal_game_data,39,scc:0095,scc:0306,1,"{""recipe_input"":1}",1894
all_exact_formal_game_data,40,scc:0095,scc:0309,1,"{""recipe_input"":1}",1906
all_exact_formal_game_data,41,scc:0095,scc:0310,1,"{""recipe_input"":1}",1911
all_exact_formal_game_data,42,scc:0095,scc:0311,1,"{""recipe_input"":1}",1758
all_exact_formal_game_data,43,scc:0095,scc:0312,1,"{""recipe_input"":1}",1916
all_exact_formal_game_data,44,scc:0095,scc:0315,1,"{""recipe_input"":1}",1935
all_exact_formal_game_data,45,scc:0095,scc:0319,1,"{""recipe_input"":1}",1954
all_exact_formal_game_data,46,scc:0095,scc:0320,1,"{""recipe_input"":1}",1956
all_exact_formal_game_data,47,scc:0095,scc:0325,1,"{""recipe_input"":1}",1763
all_exact_formal_game_data,48,scc:0095,scc:0331,1,"{""recipe_input"":1}",2005
all_exact_formal_game_data,49,scc:0095,scc:0335,1,"{""recipe_input"":1}",1767
all_exact_formal_game_data,50,scc:0095,scc:0340,1,"{""recipe_input"":1}",2035
all_exact_formal_game_data,51,scc:0095,scc:0341,1,"{""recipe_input"":1}",2038
all_exact_formal_game_data,52,scc:0095,scc:0342,1,"{""recipe_input"":1}",2041
all_exact_formal_game_data,53,scc:0095,scc:0343,1,"{""recipe_input"":1}",2044
all_exact_formal_game_data,54,scc:0095,scc:0351,1,"{""recipe_input"":1}",2069
all_exact_formal_game_data,55,scc:0095,scc:0354,1,"{""recipe_input"":1}",2081
all_exact_formal_game_data,56,scc:0095,scc:0436,1,"{""research_input"":1}",597
all_exact_formal_game_data,57,scc:0096,scc:0229,1,"{""recipe_input"":1}",2102
all_exact_formal_game_data,58,scc:0096,scc:0269,1,"{""recipe_input"":1}",2259
all_exact_formal_game_data,59,scc:0096,scc:0318,1,"{""recipe_input"":1}",1760
all_exact_formal_game_data,60,scc:0097,scc:0234,1,"{""recipe_input"":1}",2117
all_exact_formal_game_data,61,scc:0097,scc:0236,1,"{""recipe_input"":1}",2122
all_exact_formal_game_data,62,scc:0097,scc:0238,1,"{""recipe_input"":1}",2133
all_exact_formal_game_data,63,scc:0097,scc:0243,1,"{""recipe_input"":1}",2156
all_exact_formal_game_data,64,scc:0097,scc:0246,1,"{""recipe_input"":1}",2167
all_exact_formal_game_data,65,scc:0097,scc:0251,1,"{""recipe_input"":1}",2194
all_exact_formal_game_data,66,scc:0097,scc:0252,1,"{""recipe_input"":1}",2199
all_exact_formal_game_data,67,scc:0097,scc:0254,1,"{""recipe_input"":1}",2210
all_exact_formal_game_data,68,scc:0097,scc:0257,1,"{""recipe_input"":1}",2221
all_exact_formal_game_data,69,scc:0097,scc:0258,1,"{""recipe_input"":1}",2224
all_exact_formal_game_data,70,scc:0097,scc:0266,1,"{""recipe_input"":1}",1786
all_exact_formal_game_data,71,scc:0097,scc:0277,1,"{""recipe_input"":1}",1791
all_exact_formal_game_data,72,scc:0097,scc:0280,1,"{""recipe_input"":1}",2309
all_exact_formal_game_data,73,scc:0097,scc:0285,1,"{""recipe_input"":1}",2334
all_exact_formal_game_data,74,scc:0097,scc:0294,1,"{""recipe_input"":1}",1807
all_exact_formal_game_data,75,scc:0097,scc:0296,1,"{""recipe_input"":1}",1813
all_exact_formal_game_data,76,scc:0097,scc:0321,1,"{""recipe_input"":1}",1964
all_exact_formal_game_data,77,scc:0097,scc:0327,1,"{""recipe_input"":1}",1980
all_exact_formal_game_data,78,scc:0097,scc:0328,1,"{""recipe_input"":1}",1985
all_exact_formal_game_data,79,scc:0097,scc:0332,1,"{""recipe_input"":1}",2010
all_exact_formal_game_data,80,scc:0097,scc:0348,1,"{""recipe_input"":1}",2057
all_exact_formal_game_data,81,scc:0097,scc:0350,1,"{""recipe_input"":1}",2064
all_exact_formal_game_data,82,scc:0097,scc:0450,1,"{""research_input"":1}",689
all_exact_formal_game_data,83,scc:0098,scc:0100,2,"{""recipe_input"":2}",2089|2093
all_exact_formal_game_data,84,scc:0098,scc:0230,1,"{""recipe_input"":1}",2307
all_exact_formal_game_data,85,scc:0098,scc:0243,1,"{""recipe_input"":1}",2157
all_exact_formal_game_data,86,scc:0098,scc:0256,1,"{""recipe_input"":1}",2215
all_exact_formal_game_data,87,scc:0098,scc:0262,1,"{""recipe_input"":1}",2239
all_exact_formal_game_data,88,scc:0098,scc:0265,1,"{""recipe_input"":1}",2247
all_exact_formal_game_data,89,scc:0098,scc:0271,1,"{""recipe_input"":1}",2267
all_exact_formal_game_data,90,scc:0098,scc:0294,1,"{""recipe_input"":1}",1808
all_exact_formal_game_data,91,scc:0098,scc:0312,1,"{""recipe_input"":1}",1917
all_exact_formal_game_data,92,scc:0098,scc:0314,1,"{""recipe_input"":1}",1926
all_exact_formal_game_data,93,scc:0098,scc:0318,1,"{""recipe_input"":1}",1761
all_exact_formal_game_data,94,scc:0098,scc:0322,1,"{""recipe_input"":1}",1967
all_exact_formal_game_data,95,scc:0098,scc:0436,1,"{""research_input"":1}",598
all_exact_formal_game_data,96,scc:0099,scc:0100,1,"{""recipe_input"":1}",1864
all_exact_formal_game_data,97,scc:0099,scc:0314,1,"{""recipe_input"":1}",1925
all_exact_formal_game_data,98,scc:0099,scc:0322,1,"{""recipe_input"":1}",1968
all_exact_formal_game_data,99,scc:0099,scc:0328,1,"{""recipe_input"":1}",1986
all_exact_formal_game_data,100,scc:0099,scc:0336,1,"{""recipe_input"":1}",2020
all_exact_formal_game_data,101,scc:0100,scc:0044,1,"{""unlocks_function"":1}",426
all_exact_formal_game_data,102,scc:0100,scc:0068,1,"{""unlocks_function"":1}",281
all_exact_formal_game_data,103,scc:0100,scc:0105,1,"{""recipe_output"":1}",1996
all_exact_formal_game_data,104,scc:0100,scc:0229,3,"{""recipe_input"":2,""unlocks_recipe"":1}",425|2101|2103
all_exact_formal_game_data,105,scc:0100,scc:0232,1,"{""recipe_input"":1}",2112
all_exact_formal_game_data,106,scc:0100,scc:0233,1,"{""recipe_input"":1}",2115
all_exact_formal_game_data,107,scc:0100,scc:0236,1,"{""unlocks_recipe"":1}",105
all_exact_formal_game_data,108,scc:0100,scc:0239,1,"{""recipe_input"":1}",2137
all_exact_formal_game_data,109,scc:0100,scc:0241,1,"{""recipe_input"":1}",2148
all_exact_formal_game_data,110,scc:0100,scc:0244,1,"{""recipe_input"":1}",2164
all_exact_formal_game_data,111,scc:0100,scc:0249,3,"{""recipe_input"":3}",2185|2186|2187
all_exact_formal_game_data,112,scc:0100,scc:0253,1,"{""recipe_input"":1}",2205
all_exact_formal_game_data,113,scc:0100,scc:0256,1,"{""recipe_input"":1}",2217
all_exact_formal_game_data,114,scc:0100,scc:0257,1,"{""recipe_input"":1}",2222
all_exact_formal_game_data,115,scc:0100,scc:0258,2,"{""recipe_input"":2}",2225|2227
all_exact_formal_game_data,116,scc:0100,scc:0260,2,"{""recipe_input"":2}",2232|2233
all_exact_formal_game_data,117,scc:0100,scc:0261,2,"{""recipe_input"":2}",2236|2237
all_exact_formal_game_data,118,scc:0100,scc:0263,1,"{""recipe_input"":1}",2242
all_exact_formal_game_data,119,scc:0100,scc:0267,1,"{""recipe_input"":1}",2251
all_exact_formal_game_data,120,scc:0100,scc:0269,2,"{""recipe_input"":2}",2258|2260
all_exact_formal_game_data,121,scc:0100,scc:0270,2,"{""recipe_input"":2}",2263|2264
all_exact_formal_game_data,122,scc:0100,scc:0273,1,"{""recipe_input"":1}",2279
all_exact_formal_game_data,123,scc:0100,scc:0275,1,"{""recipe_input"":1}",2287
all_exact_formal_game_data,124,scc:0100,scc:0276,2,"{""recipe_input"":2}",2292|2294
all_exact_formal_game_data,125,scc:0100,scc:0278,1,"{""recipe_input"":1}",2299
all_exact_formal_game_data,126,scc:0100,scc:0279,1,"{""recipe_input"":1}",2304
all_exact_formal_game_data,127,scc:0100,scc:0281,1,"{""recipe_input"":1}",2317
all_exact_formal_game_data,128,scc:0100,scc:0282,1,"{""recipe_input"":1}",2322
all_exact_formal_game_data,129,scc:0100,scc:0283,1,"{""recipe_input"":1}",2327
all_exact_formal_game_data,130,scc:0100,scc:0284,1,"{""recipe_input"":1}",2331
all_exact_formal_game_data,131,scc:0100,scc:0286,2,"{""recipe_input"":2}",2339|2341
all_exact_formal_game_data,132,scc:0100,scc:0287,1,"{""recipe_input"":1}",2345
all_exact_formal_game_data,133,scc:0100,scc:0292,2,"{""recipe_input"":2}",1804|1805
all_exact_formal_game_data,134,scc:0100,scc:0295,1,"{""recipe_input"":1}",1811
all_exact_formal_game_data,135,scc:0100,scc:0300,2,"{""recipe_input"":1,""unlocks_recipe"":1}",117|1872
all_exact_formal_game_data,136,scc:0100,scc:0302,1,"{""recipe_input"":1}",1878
all_exact_formal_game_data,137,scc:0100,scc:0303,1,"{""recipe_input"":1}",1881
all_exact_formal_game_data,138,scc:0100,scc:0304,1,"{""recipe_input"":1}",1887
all_exact_formal_game_data,139,scc:0100,scc:0305,1,"{""recipe_input"":1}",1890
all_exact_formal_game_data,140,scc:0100,scc:0307,1,"{""recipe_input"":1}",1899
all_exact_formal_game_data,141,scc:0100,scc:0308,2,"{""recipe_input"":2}",1903|1904
all_exact_formal_game_data,142,scc:0100,scc:0321,2,"{""recipe_input"":2}",1963|1965
all_exact_formal_game_data,143,scc:0100,scc:0323,1,"{""unlocks_recipe"":1}",263
all_exact_formal_game_data,144,scc:0100,scc:0324,1,"{""unlocks_recipe"":1}",264
all_exact_formal_game_data,145,scc:0100,scc:0326,2,"{""recipe_input"":1,""unlocks_recipe"":1}",269|1977
all_exact_formal_game_data,146,scc:0100,scc:0327,1,"{""unlocks_recipe"":1}",270
all_exact_formal_game_data,147,scc:0100,scc:0328,1,"{""unlocks_recipe"":1}",274
all_exact_formal_game_data,148,scc:0100,scc:0330,4,"{""recipe_input"":4}",1999|2000|2001|2002
all_exact_formal_game_data,149,scc:0100,scc:0331,1,"{""recipe_input"":1}",2007
all_exact_formal_game_data,150,scc:0100,scc:0332,1,"{""recipe_input"":1}",2012
all_exact_formal_game_data,151,scc:0100,scc:0333,2,"{""recipe_input"":1,""unlocks_recipe"":1}",414|2014
all_exact_formal_game_data,152,scc:0100,scc:0334,2,"{""recipe_input"":1,""unlocks_recipe"":1}",421|2016
all_exact_formal_game_data,153,scc:0100,scc:0336,1,"{""recipe_input"":1}",2018
all_exact_formal_game_data,154,scc:0100,scc:0338,2,"{""recipe_input"":2}",2028|2029
all_exact_formal_game_data,155,scc:0100,scc:0339,1,"{""recipe_input"":1}",2033
all_exact_formal_game_data,156,scc:0100,scc:0345,1,"{""recipe_input"":1}",2052
all_exact_formal_game_data,157,scc:0100,scc:0347,1,"{""recipe_input"":1}",2055
all_exact_formal_game_data,158,scc:0100,scc:0349,1,"{""recipe_input"":1}",2062
all_exact_formal_game_data,159,scc:0100,scc:0350,2,"{""recipe_input"":2}",2065|2067
all_exact_formal_game_data,160,scc:0100,scc:0352,1,"{""recipe_input"":1}",2075
all_exact_formal_game_data,161,scc:0100,scc:0362,1,"{""research_input"":1}",44
all_exact_formal_game_data,162,scc:0100,scc:0363,1,"{""research_input"":1}",47
all_exact_formal_game_data,163,scc:0100,scc:0364,1,"{""research_input"":1}",50
all_exact_formal_game_data,164,scc:0100,scc:0368,4,"{""research_input"":4}",126|127|128|129
